dia;linea_Servicio;Hora;Afluencia
4/06/2019;A;4:00:00;14335
5/06/2019;A;4:00:00;13923
6/06/2019;A;4:00:00;13740
7/06/2019;A;4:00:00;13596
8/06/2019;A;4:00:00;11288
9/06/2019;A;4:00:00;3075
10/06/2019;A;4:00:00;13696
11/06/2019;A;4:00:00;13837
12/06/2019;A;4:00:00;14338
13/06/2019;A;4:00:00;14935
14/06/2019;A;4:00:00;14449
15/06/2019;A;4:00:00;11347
16/06/2019;A;4:00:00;2628
17/06/2019;A;4:00:00;14758
18/06/2019;A;4:00:00;14291
19/06/2019;A;4:00:00;14580
20/06/2019;A;4:00:00;14423
21/06/2019;A;4:00:00;14241
22/06/2019;A;4:00:00;11443
23/06/2019;A;4:00:00;3208
24/06/2019;A;4:00:00;3154
25/06/2019;A;4:00:00;14275
26/06/2019;A;4:00:00;13349
27/06/2019;A;4:00:00;13335
28/06/2019;A;4:00:00;13803
29/06/2019;A;4:00:00;11123
30/06/2019;A;4:00:00;3202
1/07/2019;A;4:00:00;3197
2/07/2019;A;4:00:00;14231
3/07/2019;A;4:00:00;13195
4/07/2019;A;4:00:00;13454
5/07/2019;A;4:00:00;13381
6/07/2019;A;4:00:00;10865
7/07/2019;A;4:00:00;3023
8/07/2019;A;4:00:00;13842
9/07/2019;A;4:00:00;13668
10/07/2019;A;4:00:00;13704
11/07/2019;A;4:00:00;13603
12/07/2019;A;4:00:00;13678
13/07/2019;A;4:00:00;10820
14/07/2019;A;4:00:00;3031
15/07/2019;A;4:00:00;13542
16/07/2019;A;4:00:00;13235
17/07/2019;A;4:00:00;13488
18/07/2019;A;4:00:00;13581
19/07/2019;A;4:00:00;13276
20/07/2019;A;4:00:00;4468
21/07/2019;A;4:00:00;2869
22/07/2019;A;4:00:00;14202
23/07/2019;A;4:00:00;13655
24/07/2019;A;4:00:00;13735
25/07/2019;A;4:00:00;13927
26/07/2019;A;4:00:00;14027
27/07/2019;A;4:00:00;11406
28/07/2019;A;4:00:00;3049
29/07/2019;A;4:00:00;14569
30/07/2019;A;4:00:00;13574
31/07/2019;A;4:00:00;13653
1/08/2019;A;4:00:00;14156
2/08/2019;A;4:00:00;13554
3/08/2019;A;4:00:00;11067
4/08/2019;A;4:00:00;3135
5/08/2019;A;4:00:00;14261
6/08/2019;A;4:00:00;14380
7/08/2019;A;4:00:00;4378
8/08/2019;A;4:00:00;14598
9/08/2019;A;4:00:00;14402
10/08/2019;A;4:00:00;11415
11/08/2019;A;4:00:00;3428
12/08/2019;A;4:00:00;14905
13/08/2019;A;4:00:00;14243
14/08/2019;A;4:00:00;14288
15/08/2019;A;4:00:00;14241
16/08/2019;A;4:00:00;14057
17/08/2019;A;4:00:00;11333
18/08/2019;A;4:00:00;3215
19/08/2019;A;4:00:00;3373
20/08/2019;A;4:00:00;15352
21/08/2019;A;4:00:00;14518
22/08/2019;A;4:00:00;12920
23/08/2019;A;4:00:00;14467
24/08/2019;A;4:00:00;11598
25/08/2019;A;4:00:00;3309
26/08/2019;A;4:00:00;14407
27/08/2019;A;4:00:00;14619
28/08/2019;A;4:00:00;14528
29/08/2019;A;4:00:00;14278
30/08/2019;A;4:00:00;14523
31/08/2019;A;4:00:00;11643
1/09/2019;A;4:00:00;3126
2/09/2019;A;4:00:00;14700
3/09/2019;A;4:00:00;13636
4/09/2019;A;4:00:00;14724
5/09/2019;A;4:00:00;
6/09/2019;A;4:00:00;15201
7/09/2019;A;4:00:00;11967
8/09/2019;A;4:00:00;3355
9/09/2019;A;4:00:00;15038
10/09/2019;A;4:00:00;14418
11/09/2019;A;4:00:00;14387
12/09/2019;A;4:00:00;14364
13/09/2019;A;4:00:00;13810
14/09/2019;A;4:00:00;11393
15/09/2019;A;4:00:00;3298
16/09/2019;A;4:00:00;14576
17/09/2019;A;4:00:00;14718
18/09/2019;A;4:00:00;14261
19/09/2019;A;4:00:00;13997
20/09/2019;A;4:00:00;14434
21/09/2019;A;4:00:00;11620
22/09/2019;A;4:00:00;3209
23/09/2019;A;4:00:00;14122
24/09/2019;A;4:00:00;13870
25/09/2019;A;4:00:00;14291
26/09/2019;A;4:00:00;13751
27/09/2019;A;4:00:00;14846
28/09/2019;A;4:00:00;11791
29/09/2019;A;4:00:00;3529
30/09/2019;A;4:00:00;14472
1/10/2019;A;4:00:00;14586
2/10/2019;A;4:00:00;14925
3/10/2019;A;4:00:00;14506
4/10/2019;A;4:00:00;14648
5/10/2019;A;4:00:00;12272
6/10/2019;A;4:00:00;3585
7/10/2019;A;4:00:00;14703
8/10/2019;A;4:00:00;14620
9/10/2019;A;4:00:00;14452
10/10/2019;A;4:00:00;14664
11/10/2019;A;4:00:00;14684
12/10/2019;A;4:00:00;11918
13/10/2019;A;4:00:00;3531
14/10/2019;A;4:00:00;3703
15/10/2019;A;4:00:00;15689
16/10/2019;A;4:00:00;14805
17/10/2019;A;4:00:00;15018
18/10/2019;A;4:00:00;14966
19/10/2019;A;4:00:00;
20/10/2019;A;4:00:00;3711
21/10/2019;A;4:00:00;15215
22/10/2019;A;4:00:00;14971
23/10/2019;A;4:00:00;14751
24/10/2019;A;4:00:00;14045
25/10/2019;A;4:00:00;15125
26/10/2019;A;4:00:00;12203
27/10/2019;A;4:00:00;329
28/10/2019;A;4:00:00;15590
29/10/2019;A;4:00:00;14921
30/10/2019;A;4:00:00;14705
31/10/2019;A;4:00:00;14862
1/11/2019;A;4:00:00;14889
2/11/2019;A;4:00:00;12071
3/11/2019;A;4:00:00;3027
4/11/2019;A;4:00:00;3674
5/11/2019;A;4:00:00;16003
6/11/2019;A;4:00:00;15227
7/11/2019;A;4:00:00;14818
8/11/2019;A;4:00:00;15069
9/11/2019;A;4:00:00;11537
10/11/2019;A;4:00:00;3736
11/11/2019;A;4:00:00;3499
12/11/2019;A;4:00:00;15219
13/11/2019;A;4:00:00;15011
14/11/2019;A;4:00:00;14924
15/11/2019;A;4:00:00;14946
16/11/2019;A;4:00:00;12193
17/11/2019;A;4:00:00;3641
18/11/2019;A;4:00:00;15382
19/11/2019;A;4:00:00;14888
20/11/2019;A;4:00:00;15192
21/11/2019;A;4:00:00;5061
22/11/2019;A;4:00:00;14795
23/11/2019;A;4:00:00;12019
24/11/2019;A;4:00:00;4023
25/11/2019;A;4:00:00;15547
26/11/2019;A;4:00:00;15121
27/11/2019;A;4:00:00;14800
28/11/2019;A;4:00:00;14639
29/11/2019;A;4:00:00;14788
30/11/2019;A;4:00:00;12273
1/12/2019;A;4:00:00;3507
2/12/2019;A;4:00:00;14685
3/12/2019;A;4:00:00;14189
4/12/2019;A;4:00:00;14556
5/12/2019;A;4:00:00;14169
6/12/2019;A;4:00:00;14372
7/12/2019;A;4:00:00;11851
8/12/2019;A;4:00:00;3185
9/12/2019;A;4:00:00;14258
10/12/2019;A;4:00:00;14664
11/12/2019;A;4:00:00;14410
12/12/2019;A;4:00:00;14430
13/12/2019;A;4:00:00;14304
14/12/2019;A;4:00:00;11824
15/12/2019;A;4:00:00;3744
16/12/2019;A;4:00:00;13993
17/12/2019;A;4:00:00;13555
18/12/2019;A;4:00:00;13624
19/12/2019;A;4:00:00;13844
20/12/2019;A;4:00:00;13449
21/12/2019;A;4:00:00;10820
22/12/2019;A;4:00:00;3738
23/12/2019;A;4:00:00;10452
24/12/2019;A;4:00:00;8723
25/12/2019;A;4:00:00;41
26/12/2019;A;4:00:00;10490
27/12/2019;A;4:00:00;10883
28/12/2019;A;4:00:00;9707
29/12/2019;A;4:00:00;3399
30/12/2019;A;4:00:00;9384
31/12/2019;A;4:00:00;6722
1/01/2019;B;4:00:00;
2/01/2019;B;4:00:00;1559
3/01/2019;B;4:00:00;1760
4/01/2019;B;4:00:00;1732
5/01/2019;B;4:00:00;1556
6/01/2019;B;4:00:00;535
7/01/2019;B;4:00:00;464
8/01/2019;B;4:00:00;2162
9/01/2019;B;4:00:00;2178
10/01/2019;B;4:00:00;2148
11/01/2019;B;4:00:00;2078
12/01/2019;B;4:00:00;1852
13/01/2019;B;4:00:00;525
14/01/2019;B;4:00:00;2310
15/01/2019;B;4:00:00;2328
16/01/2019;B;4:00:00;2221
17/01/2019;B;4:00:00;2260
18/01/2019;B;4:00:00;2334
19/01/2019;B;4:00:00;1914
20/01/2019;B;4:00:00;591
21/01/2019;B;4:00:00;2498
22/01/2019;B;4:00:00;2555
23/01/2019;B;4:00:00;2512
24/01/2019;B;4:00:00;2549
25/01/2019;B;4:00:00;2498
26/01/2019;B;4:00:00;2069
27/01/2019;B;4:00:00;537
28/01/2019;B;4:00:00;2576
29/01/2019;B;4:00:00;2589
30/01/2019;B;4:00:00;2500
31/01/2019;B;4:00:00;2416
1/02/2019;B;4:00:00;2437
2/02/2019;B;4:00:00;1995
3/02/2019;B;4:00:00;509
4/02/2019;B;4:00:00;2568
5/02/2019;B;4:00:00;2479
6/02/2019;B;4:00:00;2444
7/02/2019;B;4:00:00;2511
8/02/2019;B;4:00:00;2431
9/02/2019;B;4:00:00;2007
10/02/2019;B;4:00:00;586
11/02/2019;B;4:00:00;2574
12/02/2019;B;4:00:00;2518
13/02/2019;B;4:00:00;2407
14/02/2019;B;4:00:00;2553
15/02/2019;B;4:00:00;1896
16/02/2019;B;4:00:00;2054
17/02/2019;B;4:00:00;530
18/02/2019;B;4:00:00;2574
19/02/2019;B;4:00:00;2492
20/02/2019;B;4:00:00;2455
21/02/2019;B;4:00:00;2435
22/02/2019;B;4:00:00;2562
23/02/2019;B;4:00:00;1957
24/02/2019;B;4:00:00;534
25/02/2019;B;4:00:00;2702
26/02/2019;B;4:00:00;2643
27/02/2019;B;4:00:00;2588
28/02/2019;B;4:00:00;2541
1/03/2019;B;4:00:00;2591
2/03/2019;B;4:00:00;1989
3/03/2019;B;4:00:00;497
4/03/2019;B;4:00:00;2583
5/03/2019;B;4:00:00;2617
6/03/2019;B;4:00:00;2788
7/03/2019;B;4:00:00;2716
8/03/2019;B;4:00:00;2687
9/03/2019;B;4:00:00;2096
10/03/2019;B;4:00:00;558
11/03/2019;B;4:00:00;2751
12/03/2019;B;4:00:00;2559
13/03/2019;B;4:00:00;728
14/03/2019;B;4:00:00;2540
15/03/2019;B;4:00:00;2581
16/03/2019;B;4:00:00;1997
17/03/2019;B;4:00:00;495
18/03/2019;B;4:00:00;2850
19/03/2019;B;4:00:00;2690
20/03/2019;B;4:00:00;2743
21/03/2019;B;4:00:00;2619
22/03/2019;B;4:00:00;2612
23/03/2019;B;4:00:00;2069
24/03/2019;B;4:00:00;557
25/03/2019;B;4:00:00;655
26/03/2019;B;4:00:00;2837
27/03/2019;B;4:00:00;2712
28/03/2019;B;4:00:00;2615
29/03/2019;B;4:00:00;2678
30/03/2019;B;4:00:00;2194
31/03/2019;B;4:00:00;569
1/04/2019;B;4:00:00;2751
2/04/2019;B;4:00:00;2542
3/04/2019;B;4:00:00;2611
4/04/2019;B;4:00:00;2618
5/04/2019;B;4:00:00;2559
6/04/2019;B;4:00:00;2037
7/04/2019;B;4:00:00;549
8/04/2019;B;4:00:00;2746
9/04/2019;B;4:00:00;2626
10/04/2019;B;4:00:00;2580
11/04/2019;B;4:00:00;2640
12/04/2019;B;4:00:00;2656
13/04/2019;B;4:00:00;2107
14/04/2019;B;4:00:00;630
15/04/2019;B;4:00:00;2698
