linea_origen;estacion_origen;linea_destino;estacion_destino;distancia
A;Prado;A;Alpujarra;1648,403587
A;Prado;A;Exposiciones;2181,653141
A;Prado;A;Industriales;3141,991645
A;Prado;A;Poblado;5141,73919
A;Prado;A;Aguacatala;7202,328651
A;Prado;A;Ayurá;8180,976747
A;Prado;A;Envigado;9939,687777
A;Prado;A;Itaguí;11635,71851
A;Prado;A;Sabaneta;12822,71112
A;Prado;A;La Estrella;14067,31387
A;Parque Berrío;A;Alpujarra;910,1203863
A;Parque Berrío;A;Exposiciones;1443,36994
A;Parque Berrío;A;Industriales;2403,708444
A;Parque Berrío;A;Poblado;4403,455989
A;Parque Berrío;A;Aguacatala;6464,04545
A;Parque Berrío;A;Ayurá;7442,693547
A;Parque Berrío;A;Envigado;9201,404576
A;Parque Berrío;A;Itaguí;10897,43531
A;Parque Berrío;A;Sabaneta;12084,42792
A;Parque Berrío;A;La Estrella;13329,03067
A;San Antonio;A;Exposiciones;1043,216728
A;San Antonio;A;Industriales;2003,555232
A;San Antonio;A;Poblado;4003,302777
A;San Antonio;A;Aguacatala;6063,892238
A;San Antonio;A;Ayurá;7042,540335
A;San Antonio;A;Envigado;8801,251364
A;San Antonio;A;Itaguí;10497,2821
A;San Antonio;A;Sabaneta;11684,27471
A;San Antonio;A;La Estrella;12928,87745
A;Alpujarra;A;Industriales;1493,588058
A;Alpujarra;A;Poblado;3493,335603
A;Alpujarra;A;Aguacatala;5553,925064
A;Alpujarra;A;Ayurá;6532,573161
A;Alpujarra;A;Envigado;8291,28419
A;Alpujarra;A;Itaguí;9987,314923
A;Alpujarra;A;Sabaneta;11174,30753
A;Alpujarra;A;La Estrella;12418,91028
A;Exposiciones;A;Poblado;2960,086049
A;Exposiciones;A;Aguacatala;5020,67551
A;Exposiciones;A;Ayurá;5999,323607
A;Exposiciones;A;Envigado;7758,034636
A;Exposiciones;A;Itaguí;9454,065369
A;Exposiciones;A;Sabaneta;10641,05798
A;Exposiciones;A;La Estrella;11885,66073
A;Industriales;A;Aguacatala;4060,337006
A;Industriales;A;Ayurá;5038,985103
A;Industriales;A;Envigado;6797,696132
A;Industriales;A;Itaguí;8493,726865
A;Industriales;A;Sabaneta;9680,719474
A;Industriales;A;La Estrella;10925,32222
A;Poblado;A;Ayurá;3039,237558
A;Poblado;A;Envigado;4797,948587
A;Poblado;A;Itaguí;6493,97932
A;Poblado;A;Sabaneta;7680,971929
A;Poblado;A;La Estrella;8925,574676
A;Aguacatala;A;Envigado;2737,359126
A;Aguacatala;A;Itaguí;4433,389859
A;Aguacatala;A;Sabaneta;5620,382469
A;Aguacatala;A;La Estrella;6864,985215
A;Ayurá;A;Itaguí;3454,741762
A;Ayurá;A;Sabaneta;4641,734372
A;Ayurá;A;La Estrella;5886,337118
A;Envigado;A;Sabaneta;2883,023342
A;Envigado;A;La Estrella;4127,626089
A;Itaguí;A;La Estrella;2431,595356
A;San Antonio;B;Suramericana;1602,451111
A;San Antonio;B;Estadio;2191,863782
A;San Antonio;B;Floresta;3398,243871
A;San Antonio;B;Santa Lucia;4066,02749
A;San Antonio;B;San Javier;5173,035616
B;Cisneros;B;Estadio;1554,825564
B;Cisneros;B;Floresta;2761,205654
B;Cisneros;B;Santa Lucia;3428,989272
B;Cisneros;B;San Javier;4535,997399
B;Suramericana;B;Floresta;1795,79276
B;Suramericana;B;Santa Lucia;2463,576379
B;Suramericana;B;San Javier;3570,584505
B;Estadio;B;Santa Lucia;1874,163708
B;Estadio;B;San Javier;2981,171835
B;Floresta;B;San Javier;1774,791745
A;Niquía;A;Niquía;0
A;La Estrella;A;La Estrella;0
A;Bello;A;Niquía;1341,801937
A;Madera;A;Bello;1583,71928
A;Acevedo;A;Madera;1798,041307
A;Tricentenario;A;Acevedo;1264,219197
A;Caribe;A;Tricentenario;1423,693274
A;Universidad;A;Caribe;1060,194018
A;Hospital;A;Universidad;669,2118498
A;Prado;A;Hospital;842,4774047
A;Parque Berrío;A;Prado;738,2832005
A;San Antonio;A;Parque Berrío;400,1532123
A;Alpujarra;A;San Antonio;509,967174
A;Exposiciones;A;Alpujarra;533,2495538
A;Industriales;A;Exposiciones;960,3385043
A;Poblado;A;Industriales;1999,747545
A;Aguacatala;A;Poblado;2060,589461
A;Ayurá;A;Aguacatala;978,6480969
A;Envigado;A;Ayurá;1758,711029
A;Itaguí;A;Envigado;1696,030733
A;Sabaneta;A;Itaguí;1186,992609
A;La Estrella;A;Sabaneta;1244,602747
A;Madera;A;Niquía;2925,521216
A;Acevedo;A;Niquía;4723,562523
A;Tricentenario;A;Niquía;5987,781721
A;Caribe;A;Niquía;7411,474995
A;Universidad;A;Niquía;8471,669013
A;Hospital;A;Niquía;9140,880862
A;Prado;A;Niquía;9983,358267
A;Parque Berrío;A;Niquía;10721,64147
A;San Antonio;A;Niquía;11121,79468
A;Alpujarra;A;Niquía;11631,76185
A;Exposiciones;A;Niquía;12165,01141
A;Industriales;A;Niquía;13125,34991
A;Poblado;A;Niquía;15125,09746
A;Aguacatala;A;Niquía;17185,68692
A;Ayurá;A;Niquía;18164,33501
A;Envigado;A;Niquía;19923,04604
A;Itaguí;A;Niquía;21619,07678
A;Sabaneta;A;Niquía;22806,06939
A;La Estrella;A;Niquía;24050,67213
A;Acevedo;A;Bello;3381,760587
A;Tricentenario;A;Bello;4645,979784
A;Caribe;A;Bello;6069,673058
A;Universidad;A;Bello;7129,867076
A;Hospital;A;Bello;7799,078926
A;Prado;A;Bello;8641,556331
A;Parque Berrío;A;Bello;9379,839531
A;San Antonio;A;Bello;9779,992743
A;Alpujarra;A;Bello;10289,95992
